id,titulo,imagen,imagenes,categoria_id,categoria_nombre,subcategoria_id,subcategoria_nombre,producto_descripcion,precio
K-BAR-MIXER-0.5L-1-1,BOTELLA MIXER NARANJA DE 0.5L,https://kossino.com/wp-content/uploads/2024/11/orange-juice-pourer-cleancopy_700x700-600x600.webp,,BAR,BAR,ACCESORIOS_PARA_BARRA,ACCESORIOS PARA BARRA,"ALTURA: 23CM

CAPACIDAD: 0.5 litros

MATERIAL: Plastico y poliestireno",29
K-BAR-MIXER-0.5L-ROJO,BOTELLA MIXER ROJA DE 0.5L,https://kossino.com/wp-content/uploads/2024/11/red-correct-juice-pourer-cleancopy_700x700-600x600.webp,,BAR,BAR,ACCESORIOS_PARA_BARRA,ACCESORIOS PARA BARRA,"ALTURA: 23CM

CAPACIDAD: 0.5 litros

MATERIAL: Plastico y poliestireno",29
K-BAR-MIXER-0.5L-VERDE,BOTELLA MIXER VERDE DE 0.5L,https://kossino.com/wp-content/uploads/2024/11/images-2.jpeg,,BAR,BAR,ACCESORIOS_PARA_BARRA,ACCESORIOS PARA BARRA,"ALTURA: 23CM

CAPACIDAD: 0.5 litros

MATERIAL: Plastico y poliestireno",29
K-BAR-MIXER-1L-AMA,BOTELLA MIXER AMARILLA DE 1L,https://kossino.com/wp-content/uploads/2024/11/770616-Photoroom.png,,BAR,BAR,ACCESORIOS_PARA_BARRA,ACCESORIOS PARA BARRA,"ALTURA: 26CM

CAPACIDAD: 1.0 litros

MATERIAL: Plastico y poliestireno",35
K-BAR-MIXER-1L-CAFÉ,BOTELLA MIXER CAFE DE 1L,https://kossino.com/wp-content/uploads/2024/11/770323-removebg-preview.png,,BAR,BAR,ACCESORIOS_PARA_BARRA,ACCESORIOS PARA BARRA,"ALTURA: 26CM

CAPACIDAD: 1.0 litros

MATERIAL: Plastico y poliestireno",35
K-BAR-MIXER-1L-NAR,BOTELLA MIXER NARANJA DE 1L,https://kossino.com/wp-content/uploads/2024/11/41itA-Rj2PL-600x600.jpg,,BAR,BAR,ACCESORIOS_PARA_BARRA,ACCESORIOS PARA BARRA,"ALTURA: 26CM

CAPACIDAD: 1.0 litros

MATERIAL: Plastico y poliestireno",35
K-BAR-MIXER-1L-ROJO,BOTELLA MIXER ROJA DE 1L,https://kossino.com/wp-content/uploads/2023/01/770461-removebg-preview.png,,BAR,BAR,ACCESORIOS_PARA_BARRA,ACCESORIOS PARA BARRA,"ALTURA: 26CM

CAPACIDAD: 1.0 litros

MATERIAL: Plastico y poliestireno",35
K-BAR-MIXER-1L-VERDE,BOTELLA MIXER VERDE DE 1L,https://kossino.com/wp-content/uploads/2024/11/770371-removebg-preview.png,,BAR,BAR,ACCESORIOS_PARA_BARRA,ACCESORIOS PARA BARRA,"ALTURA: 26CM

CAPACIDAD: 1.0 litros

MATERIAL: Plastico y poliestireno",35
K-BAR-MIXER-2L-AMA,BOTELLA MIXER AMARILLA DE 2L,https://kossino.com/wp-content/uploads/2023/01/RWT0496Y-1-LR-600x600.webp,,BAR,BAR,ACCESORIOS_PARA_BARRA,ACCESORIOS PARA BARRA,"ALTURA: 35CM

CAPACIDAD: 2.0 litros

MATERIAL: Plastico y poliestireno",45
K-BAR-MIXER-2L-NAR,BOTELLA MIXER NARANJA DE 2L,https://kossino.com/wp-content/uploads/2024/11/RWT0496T-1-LR-600x600.webp,,BAR,BAR,ACCESORIOS_PARA_BARRA,ACCESORIOS PARA BARRA,"ALTURA: 35CM

CAPACIDAD: 2.0 litros

MATERIAL: Plastico y poliestireno",45
